Row Number,Delta Ask Size,Delta Ask Price,Delta Bid Size,Delta Bid Price,Delta Average of Bid and Ask,Timestamp (EST)
1176,-71,-0.26,-80,-0.24,-0.25,2024-08-06 03:58 PM
1175,-20,-0.08,61,-0.1,-0.09,2024-08-06 03:59 PM
1174,11,-0.1,-19,-0.06,-0.09,2024-08-06 04:00 PM
1173,-70,-6.02,-50,-6.01,-6.01,2024-08-07 09:30 AM
1172,20,9.12,20,9.03,9.07,2024-08-07 09:31 AM
1171,-19,0.09,17,0.09,0.09,2024-08-07 09:32 AM
1170,30,-0.11,-7,-0.12,-0.11,2024-08-07 09:33 AM
1169,-29,-0.04,-28,-0.02,-0.03,2024-08-07 09:34 AM
1168,92,0.18,20,0.18,0.18,2024-08-07 09:35 AM
1167,-74,0.19,9,0.18,0.18,2024-08-07 09:36 AM
1166,-11,0.13,-23,0.14,0.14,2024-08-07 09:37 AM
1165,33,0.57,0,0.56,0.57,2024-08-07 09:38 AM
1164,-13,-0.16,-6,-0.16,-0.16,2024-08-07 09:39 AM
1163,-27,-0.08,36,-0.08,-0.08,2024-08-07 09:40 AM
1162,36,-0.1,-18,-0.1,-0.11,2024-08-07 09:41 AM
1161,-36,0.09,0,0.1,0.1,2024-08-07 09:42 AM
1160,18,-0.18,0,-0.18,-0.18,2024-08-07 09:43 AM
1159,13,0.44,-18,0.44,0.44,2024-08-07 09:44 AM
1158,-13,-0.11,33,-0.12,-0.12,2024-08-07 09:45 AM
1157,-6,0.19,-34,0.18,0.19,2024-08-07 09:46 AM
1156,6,0.01,26,0.03,0.02,2024-08-07 09:47 AM
1155,-19,-0.36,7,-0.37,-0.37,2024-08-07 09:48 AM
1154,34,0.48,-32,0.47,0.48,2024-08-07 09:49 AM
1153,-9,-0.13,37,-0.12,-0.12,2024-08-07 09:50 AM
1152,4,0.17,-19,0.17,0.17,2024-08-07 09:51 AM
1151,0,-0.22,0,-0.22,-0.23,2024-08-07 09:52 AM
1150,6,0.14,-19,0.15,0.15,2024-08-07 09:53 AM
1149,-16,-0.03,0,-0.05,-0.04,2024-08-07 09:54 AM
1148,22,0.11,0,0.13,0.12,2024-08-07 09:55 AM
1147,-32,-0.3,1,-0.28,-0.29,2024-08-07 09:56 AM
1146,32,0.35,18,0.32,0.33,2024-08-07 09:57 AM
1145,-40,0.13,0,0.13,0.14,2024-08-07 09:58 AM
1144,129,-0.07,-19,-0.07,-0.07,2024-08-07 09:59 AM
1143,-129,0.42,19,0.41,0.41,2024-08-07 10:00 AM
1142,18,0.38,0,0.39,0.39,2024-08-07 10:01 AM
1141,0,-0.02,0,-0.03,-0.03,2024-08-07 10:02 AM
1140,0,-0.13,-18,-0.12,-0.12,2024-08-07 10:03 AM
1139,5,-0.22,-1,-0.21,-0.22,2024-08-07 10:04 AM
1138,-17,-0.62,39,-0.61,-0.61,2024-08-07 10:05 AM
1137,0,-0.09,-20,-0.11,-0.1,2024-08-07 10:06 AM
1136,12,0.41,-12,0.42,0.41,2024-08-07 10:07 AM
1135,-18,-0.05,-6,-0.05,-0.05,2024-08-07 10:08 AM
1134,0,0.16,18,0.15,0.16,2024-08-07 10:09 AM
1133,0,0.23,11,0.23,0.23,2024-08-07 10:10 AM
1132,18,-0.01,-11,0.0,-0.01,2024-08-07 10:11 AM
1131,0,-0.3,-18,-0.3,-0.3,2024-08-07 10:12 AM
1130,-18,0.11,-1,0.11,0.11,2024-08-07 10:13 AM
1129,6,-0.13,1,-0.14,-0.13,2024-08-07 10:14 AM
