Volume,Close Price,Timestamp (EST)
187461,543.11,2024-08-14 13:41:00
81773,543.15,2024-08-14 13:42:00
52274,543.39,2024-08-14 13:43:00
21320,543.28,2024-08-14 13:44:00
12963,543.28,2024-08-14 13:45:00
13686,543.36,2024-08-14 13:46:00
44896,543.4299,2024-08-14 13:47:00
29171,543.43,2024-08-14 13:48:00
28671,543.43,2024-08-14 13:49:00
19826,543.36,2024-08-14 13:50:00
41658,543.23,2024-08-14 13:51:00
27350,543.2906,2024-08-14 13:52:00
23516,543.51,2024-08-14 13:53:00
52493,543.4899,2024-08-14 13:54:00
22708,543.55,2024-08-14 13:55:00
19784,543.525,2024-08-14 13:56:00
36976,543.482,2024-08-14 13:57:00
23197,543.49,2024-08-14 13:58:00
25650,543.28,2024-08-14 13:59:00
141849,542.77,2024-08-14 14:00:00
70333,542.87,2024-08-14 14:01:00
54579,543.0579,2024-08-14 14:02:00
53101,542.95,2024-08-14 14:03:00
38366,542.985,2024-08-14 14:04:00
110097,543.11,2024-08-14 14:05:00
76930,543.02,2024-08-14 14:06:00
20394,543.0147,2024-08-14 14:07:00
23485,542.98,2024-08-14 14:08:00
31944,543,2024-08-14 14:09:00
23078,543.06,2024-08-14 14:10:00
84871,542.95,2024-08-14 14:11:00
26880,543.1016,2024-08-14 14:12:00
51051,543.1,2024-08-14 14:13:00
71553,542.9642,2024-08-14 14:14:00
28369,543.0433,2024-08-14 14:15:00
33733,543.09,2024-08-14 14:16:00
63963,543.01,2024-08-14 14:17:00
37125,543.0468,2024-08-14 14:18:00
31157,542.96,2024-08-14 14:19:00
39741,543.27,2024-08-14 14:20:00
40217,543.2199,2024-08-14 14:21:00
35790,543.38,2024-08-14 14:22:00
39802,543.28,2024-08-14 14:23:00
78368,543.275,2024-08-14 14:24:00
19405,543.3693,2024-08-14 14:25:00
31136,543.36,2024-08-14 14:26:00
37210,543.31,2024-08-14 14:27:00
29325,543.21,2024-08-14 14:28:00
38488,543.3775,2024-08-14 14:29:00
32657,543.43,2024-08-14 14:30:00
33891,543.4699,2024-08-14 14:31:00
85214,543.32,2024-08-14 14:32:00
49879,543.4269,2024-08-14 14:33:00
65669,543.45,2024-08-14 14:34:00
75975,543.36,2024-08-14 14:35:00
47028,543.45,2024-08-14 14:36:00
57101,543.54,2024-08-14 14:37:00
31678,543.62,2024-08-14 14:38:00
34202,543.53,2024-08-14 14:39:00
60107,543.61,2024-08-14 14:40:00
122372,543.63,2024-08-14 14:41:00
37012,543.69,2024-08-14 14:42:00
56403,543.6,2024-08-14 14:43:00
58381,543.6003,2024-08-14 14:44:00
28215,543.7,2024-08-14 14:45:00
90189,543.58,2024-08-14 14:46:00
93645,543.55,2024-08-14 14:47:00
48884,543.5117,2024-08-14 14:48:00
24361,543.5395,2024-08-14 14:49:00
42132,543.62,2024-08-14 14:50:00
39013,543.69,2024-08-14 14:51:00
24459,543.8,2024-08-14 14:52:00
76215,543.825,2024-08-14 14:53:00
13263,543.83,2024-08-14 14:54:00
27420,543.93,2024-08-14 14:55:00
30678,543.9548,2024-08-14 14:56:00
163609,544.15,2024-08-14 14:57:00
78666,544.3,2024-08-14 14:58:00
27919,544.28,2024-08-14 14:59:00
59189,544.09,2024-08-14 15:00:00
109881,544.02,2024-08-14 15:01:00
37664,543.965,2024-08-14 15:02:00
38866,544.0417,2024-08-14 15:03:00
37368,544.06,2024-08-14 15:04:00
